Num_Acc,code_insee,gravite
202400000001,70285,BlesseHospitalise
202400000002,21054,BlesseHospitalise
202400000003,15012,BlesseHospitalise
202400000004,14118,BlesseLeger
202400000005,13106,BlesseLeger
202400000006,13215,BlesseLeger
202400000007,13201,BlesseHospitalise
202400000008,07281,BlesseLeger
202400000009,07281,BlesseLeger
202400000010,06088,BlesseHospitalise
202400000011,75112,BlesseLeger
202400000012,75117,BlesseLeger
202400000013,75119,BlesseLeger
202400000014,75119,BlesseLeger
202400000015,75119,BlesseLeger
202400000016,75118,BlesseLeger
202400000017,75117,BlesseLeger
202400000018,75115,BlesseLeger
202400000019,75102,BlesseLeger
202400000020,94003,BlesseLeger
202400000021,94022,BlesseLeger
202400000022,51525,BlesseLeger
202400000023,51108,BlesseLeger
202400000024,47001,BlesseHospitalise
202400000025,45285,BlesseLeger
202400000026,45234,BlesseLeger
202400000027,44109,BlesseHospitalise
202400000028,44162,BlesseLeger
202400000029,42330,BlesseHospitalise
202400000030,37261,BlesseLeger
202400000031,35238,BlesseHospitalise
202400000032,34301,BlesseLeger
202400000033,34172,BlesseLeger
202400000034,33063,BlesseHospitalise
202400000035,33039,BlesseLeger
202400000036,33529,BlesseLeger
202400000037,29051,BlesseLeger
202400000038,29232,BlesseLeger
202400000039,28218,BlesseLeger
202400000040,27681,BlesseLeger
202400000041,76116,BlesseHospitalise
202400000042,59258,BlesseLeger
202400000043,94022,BlesseLeger
202400000044,13215,BlesseHospitalise
202400000045,92050,BlesseLeger
202400000046,83027,BlesseLeger
202400000047,92023,BlesseLeger
202400000048,33249,BlesseLeger
202400000049,35276,BlesseHospitalise
202400000050,91521,BlesseLeger
202400000051,97206,BlesseHospitalise
202400000052,94038,BlesseLeger
202400000053,22034,BlesseHospitalise
202400000054,94003,BlesseLeger
202400000055,92026,BlesseLeger
202400000056,78640,BlesseLeger
202400000057,62424,BlesseLeger
202400000058,95527,BlesseLeger
202400000059,83096,BlesseLeger
202400000060,95306,BlesseLeger
202400000061,35173,BlesseLeger
